user_id,utc_date,model,wallet_type,cost,currency
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-01,deepseek-chat,Paid,0.0135934960000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-01,deepseek-reasoner,Paid,0.0032482800000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-02,deepseek-chat,Paid,0.0240857400000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-02,deepseek-reasoner,Paid,0.0034059200000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-03,deepseek-chat,Paid,0.0077965440000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-04,deepseek-chat,Paid,0.0116319000000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-04,deepseek-reasoner,Paid,0.0025200000000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-05,deepseek-chat,Paid,0.0063841680000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-06,deepseek-chat,Paid,0.0114444400000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-07,deepseek-chat,Paid,0.0456650880000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-07,deepseek-reasoner,Paid,0.3726494520000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-08,deepseek-chat,Paid,0.1418340280000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-08,deepseek-reasoner,Paid,0.2206699880000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-09,deepseek-chat,Paid,0.2600915240000000,USD
82c99151-15ae-4f82-b788-5c6b5fcaef20,2025-12-09,deepseek-reasoner,Paid,0.1051637440000000,USD
